Field,Missing_Count,Missing_Percent,Available_Count
mean_annual_precipitation_mm,25684,95.34,1254
mean_annual_temperature,25677,95.32,1261
filtration_upper_threshold_um,24624,91.41,2314
filtration_lower_threshold_um,24589,91.28,2349
temperature,23155,85.96,3783
pH,22642,84.05,4296
artificial,22035,81.8,4903
collection_date_end,21290,79.03,5648
elevation_meters,18809,69.82,8129
depth_meters,15088,56.01,11850
pmid,10275,38.14,16663
doi,7958,29.54,18980
location,1420,5.27,25518
spire_sample_name,73,0.27,26865
longitude,48,0.18,26890
latitude,48,0.18,26890
study_code,0,0.0,26938
environment_feature,0,0.0,26938
sample_alias,0,0.0,26938
environment_biome,0,0.0,26938
environment_material,0,0.0,26938
tax_id,0,0.0,26938
last_change,0,0.0,26938
collection_date,0,0.0,26938
location_resolution,0,0.0,26938
geographic_location,0,0.0,26938
environmental_package,0,0.0,26938
