sample_alias,Richness,Shannon,Simpson,income_group,study_code
Brinch_2020_sewage_copenhagen.sample_DTU2016-1172-PRJ1066-RL-Sewage-85_S14_L001,8,1.5427007799767056,0.7074775849518178,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1497-PRJ1066-RL-Sewage-88_S10_L001,1,-0.0,0.0,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1499-PRJ1066-RL-Sewage-90_S12_L001,1,-0.0,0.0,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1501-PRJ1066-RL-Sewage-92_S14_L001,34,2.737115980846693,0.9095237683525446,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1601-PRJ1066-RD-Sewage-97_S1_L001,36,2.6371858593180386,0.8909818427343996,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1604-PRJ1066-RL-Sewage-100_S4_L001,43,2.648387580804573,0.897847568801198,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1605-PRJ1066-RD-Sewage-101_S5_L001,75,3.09038157304073,0.9304719699070606,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1606-PRJ1066-RL-Sewage-102_S6_L001,35,2.1522684007745836,0.7596082413526505,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1609-PRJ1066-RD-Sewage-104_S8_L001,78,2.9110064818130046,0.8997732453017718,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1610-PRJ1066-RA-Sewage-105_S9_L001,49,2.468228349251888,0.815315211728287,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1611-PRJ1066-RL-Sewage-106_S10_L001,84,3.0148300620491795,0.9186379722036647,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1612-PRJ1066-RL-Sewage-107_S11_L001,57,2.887187909899386,0.9065416314138004,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1613-PRJ1066-RD-Sewage-108_S12_L001,72,2.7415056839293435,0.8681793668540791,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1614-PRJ1066-RD-Sewage-31_S13_L001,143,3.4858577165187814,0.9187945352306514,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1615-PRJ1066-RL-Sewage-50_S14_L001,116,3.5394620192785764,0.9454357473756955,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1616-PRJ1066-RA-Sewage-8_S15_L001,116,3.353498540331564,0.9152518689613659,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1617-PRJ1066-RL-Sewage-49_S16_L001,97,3.1126790949173784,0.9018261075136751,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1646-PRJ1066-RD-Sewage-109_S1_L001,58,2.3747502832137557,0.8014758121951694,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1647-PRJ1066-RL-Sewage-110_S2_L001,103,3.1107769086549357,0.9240923007842886,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1648-PRJ1066-RA-Sewage-111_S3_L001,71,3.1151999474491787,0.9227442094175337,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1649-PRJ1066-RD-Sewage-112_S4_L001,81,2.6937513451527235,0.8758714460236057,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1650-PRJ1066-RL-Sewage-113_S5_L001,87,2.8700529046158585,0.9035292029989855,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1651-PRJ1066-RD-Sewage-114_S6_L001,87,2.9608014518947305,0.9178155604878429,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1652-PRJ1066-RL-Sewage-115_S7_L001,92,3.0872009209313025,0.9230870301787479,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1653-PRJ1066-RA-Sewage-116_S8_L001,71,3.0665636295232184,0.91860882589806,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1654-PRJ1066-RL-Sewage-117_S9_L001,109,3.2661552968345484,0.9318459437913509,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1655-PRJ1066-RD-Sewage-118_S10_L001,92,3.080349793533838,0.9286023683650799,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1656-PRJ1066-RL-Sewage-119_S11_L001,114,3.300414553437367,0.9285957637214596,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1657-PRJ1066-RD-Sewage-120_S12_L001,87,3.075789833732581,0.921659047168022,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1658-PRJ1066-RL-Sewage-121_S13_L001,104,3.00672939317279,0.8837584282659676,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1659-PRJ1066-RD-Sewage-122_S14_L001,101,3.144865377443487,0.9179002374323572,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1663-PRJ1066-RL-Sewage-98_S18_L001,88,3.1558367219378174,0.9160320083635523,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1664-PRJ1066-RA-Sewage-99_S19_L001,75,3.0426178706407225,0.8970414855521684,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1759-PRJ1066-123-RA-123_S1_L001,26,2.482130582221814,0.856901056259,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1760-PRJ1066-124-RA-124_S2_L001,35,2.6799710372490915,0.9070454120037134,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1761-PRJ1066-125-RD-125_S3_L001,37,2.5374916459839643,0.87665934296686,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1764-PRJ1066-Metagenome-RD-30_S6_L001,53,2.6761332891651883,0.8442604689189653,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1765-PRJ1066-Metagenome-RD-29_S7_L001,32,2.1525484106512023,0.7797250651281495,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1766-PRJ1066-Metagenome-RL-48_S8_L001,53,2.7737627845354487,0.8901605011061992,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1767-PRJ1066-Metagenome-RL-46_S9_L001,49,2.681383093084896,0.878682159282812,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1768-PRJ1066-Metagenome-RD-27_S10_L001,68,2.8559341609808504,0.8714231715055608,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1769-PRJ1066-Metagenome-RA-6_S11_L001,31,2.27155114637724,0.8135826843453489,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1770-PRJ1066-Metagenome-RD-26_S12_L001,62,2.78163520285204,0.8714032698306373,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1771-PRJ1066-Metagenome-RA-5,37,2.4845143504942278,0.8605618137415391,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1772-PRJ1066-Metagenome-RD-25_S14_L001,41,2.577575278568259,0.8566225913872534,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1773-PRJ1066-Metagenome-RL-45_S15_L001,30,2.41378059605887,0.8634891779692272,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2016-1774-PRJ1066-Metagenome-RL-44_S16_L001,38,2.445439048599006,0.8567161680327011,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1101-PRJ1066-CPH-Sewage-127,351,4.220237031491456,0.9622264697265627,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1102-PRJ1066-CPH-Sewage-128,369,3.8232068290992,0.941801439345368,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1104-PRJ1066-CPH-Sewage-130,365,4.294811069385842,0.9664523807378294,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1105-PRJ1066-CPH-Sewage-131,283,3.9875141740146796,0.955860769803354,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1106-PRJ1066-CPH-Sewage-132,231,3.6829291596512537,0.9390876934909517,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1107-PRJ1066-CPH-Sewage-133,173,3.7407250995863723,0.9554717546542727,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1108-PRJ1066-CPH-Sewage-134,385,3.871876886501883,0.9374302352488372,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1109-PRJ1066-CPH-Sewage-135,349,4.102713523038384,0.9598311177167517,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1110-PRJ1066-CPH-Sewage-136,395,3.6963546950234236,0.9218060152524707,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1112-PRJ1066-CPH-Sewage-138,229,3.690192218378634,0.9426720354580627,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1113-PRJ1066-CPH-Sewage-139,246,3.816578540200394,0.9510805137492692,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1114-PRJ1066-CPH-Sewage-140,231,3.9297269580054435,0.9579379826199187,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1115-PRJ1066-CPH-Sewage-141,392,4.046513643821498,0.953778495918906,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1116-PRJ1066-CPH-Sewage-142,394,3.879210849897902,0.9357408054955453,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1119-PRJ1066-CPH-Sewage-145,388,4.457438322594209,0.9691373692499713,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1120-PRJ1066-CPH-Sewage-146,375,4.32915440522132,0.9627418079595169,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1121-PRJ1066-CPH-Sewage-147,406,4.0097698575983065,0.9414641060589787,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1122-PRJ1066-CPH-Sewage-148,387,4.0168642945936295,0.9528069763018816,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1123-PRJ1066-CPH-Sewage-149,393,4.324513517133003,0.96461305100124,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1124-PRJ1066-CPH-Sewage-150,379,3.9992669998329182,0.9508311786469134,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1125-PRJ1066-CPH-Sewage-151,378,4.279813052615485,0.9625109371964145,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1126-PRJ1066-CPH-Sewage-152,364,4.065770254593604,0.9517197641666867,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1127-PRJ1066-CPH-Sewage-153,388,4.418316041096453,0.970394433026126,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1128-PRJ1066-CPH-Sewage-154,394,4.0502246022625155,0.9501696852261007,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1130-PRJ1066-CPH-Sewage-156,395,4.273885635841171,0.9602907371346247,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1131-PRJ1066-CPH-Sewage-157,394,4.221359087192361,0.9535547432362604,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1133-PRJ1066-CPH-Sewage-159,389,4.182858754166874,0.9623829157984554,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1134-PRJ1066-CPH-Sewage-160,385,4.062259078723096,0.9526036989371507,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1135-PRJ1066-CPH-Sewage-161,372,4.5036187300591175,0.9688281566918239,High-income,Brinch_2020_sewage_copenhagen
