species,control_mean,case_mean,log2_fold_change,p_value,control_prevalence,case_prevalence,p_adjusted,significant
s__Tessaracoccus_flavus,1.2550120288692864e-05,0.2826734117647059,14.459135882434335,4.7312958903586596e-166,0.0016038492381716118,0.5764705882352941,2.654256994491208e-163,True
s__Arthrobacter_ruber,0.00048031275060144346,0.5804241764705883,10.238917490408154,5.886132166919818e-161,0.00400962309542903,0.5764705882352941,1.651060072821009e-158,True
s__Arthrobacter_subterraneus,0.0,0.21675223529411763,31.01339972621251,1.943612008441625e-160,0.0,0.5470588235294118,3.6345544557858385e-158,True
s__Streptococcus_alactolyticus,0.0021795429029671212,0.8929816470588235,8.678461045969021,4.612364669254775e-160,0.0008019246190858059,0.5529411764705883,6.468841448629822e-158,True
s__Ornithinimicrobium_flavum,5.898155573376103e-05,0.18502082352941177,11.615133708814627,2.1578881916993614e-159,0.0048115477145148355,0.5764705882352941,2.4211505510866837e-157,True
s__Paracoccus_everestensis,0.0025349318364073776,2.0843129411764707,9.683409175521254,2.645609624812713e-158,0.007217321571772253,0.5882352941176471,2.4736449991998867e-156,True
s__Paracoccus_endophyticus,2.8692862870890135e-05,0.41608035294117646,13.823877596437203,6.964344449914651e-158,0.0056134723336006415,0.5764705882352941,5.1099930232442e-156,True
s__GGB71953_SGB99001,0.001179494787489976,0.699804294117647,9.21263854196467,7.28697757325376e-158,0.006415396952686447,0.5823529411764706,5.1099930232442e-156,True
s__Ornithinimicrobium_kibberense,0.00040413793103448274,0.4165962941176471,10.009586169388957,9.35216328945063e-158,0.0056134723336006415,0.5764705882352941,5.829515117090893e-156,True
s__Belnapia_rosea,2.806736166800321e-05,0.14582423529411764,12.34304429218477,7.390489543181054e-152,0.00400962309542903,0.5470588235294118,4.146064633724571e-150,True
s__Janibacter_endophyticus,0.00018239775461106658,0.13780217647058826,9.561294199674844,1.3584189419464023e-151,0.00400962309542903,0.5470588235294118,6.927936603926652e-150,True
